build,defect_category,test_case,test_approach,test_tool,runtime(seconds),costs(USD),revision,build_start,build_duration(hh:mm:ss)
154,4,10,4,pytest,1,NA,debaa75,20231109064737,00:01:48
154,6,13,4,pytest,2,NA,debaa75,20231109064737,00:01:48
154,3,8,4,pytest,1,NA,debaa75,20231109064737,00:01:48
154,1,2,4,terraform test,3,NA,debaa75,20231109064737,00:01:48
154,1,1,4,terraform test,5,NA,debaa75,20231109064737,00:01:48
154,2,5,4,terraform test,2,NA,debaa75,20231109064737,00:01:48
155,8,NA,1,terraform fmt,0,NA,debaa75,20231109065009,01:50:10
155,8,NA,2,terraform validate,2,NA,debaa75,20231109065009,01:50:10
155,6,NA,3,tfsec,2,NA,debaa75,20231109065009,01:50:10
155,2,6,4,pytest,1,NA,debaa75,20231109065009,01:50:10
155,4,10,4,pytest,1,NA,debaa75,20231109065009,01:50:10
155,6,13,4,pytest,1,NA,debaa75,20231109065009,01:50:10
155,3,8,4,pytest,1,NA,debaa75,20231109065009,01:50:10
155,1,2,4,terraform test,3,NA,debaa75,20231109065009,01:50:10
155,1,1,4,terraform test,5,NA,debaa75,20231109065009,01:50:10
155,2,5,4,terraform test,2,NA,debaa75,20231109065009,01:50:10
155,NA,NA,5,terraform apply,960,NA,debaa75,20231109065009,01:50:10
155,1,4,5,terraform test,4,0.0449,debaa75,20231109065009,01:50:10
155,3,9,5,terraform test,3,0.04485,debaa75,20231109065009,01:50:10
155,2,7,5,terraform test,3,0.04485,debaa75,20231109065009,01:50:10
155,NA,NA,5,terraform destroy,648,NA,debaa75,20231109065009,01:50:10
155,1,3,5,terraform test,1729,0.18527,debaa75,20231109065009,01:50:10
155,5,11,5,terratest,1576,0.17702,debaa75,20231109065009,01:50:10
155,6,14,5,terratest,1555,0.17589,debaa75,20231109065009,01:50:10
156,8,NA,1,terraform fmt,0,NA,debaa75,20231109085440,01:46:54
156,8,NA,2,terraform validate,2,NA,debaa75,20231109085440,01:46:54
156,6,NA,3,tfsec,1,NA,debaa75,20231109085440,01:46:54
156,2,6,4,pytest,1,NA,debaa75,20231109085440,01:46:54
156,4,10,4,pytest,1,NA,debaa75,20231109085440,01:46:54
156,6,13,4,pytest,1,NA,debaa75,20231109085440,01:46:54
156,3,8,4,pytest,1,NA,debaa75,20231109085440,01:46:54
156,1,2,4,terraform test,2,NA,debaa75,20231109085440,01:46:54
156,1,1,4,terraform test,6,NA,debaa75,20231109085440,01:46:54
156,2,5,4,terraform test,2,NA,debaa75,20231109085440,01:46:54
156,NA,NA,5,terraform apply,887,NA,debaa75,20231109085440,01:46:54
156,1,4,5,terraform test,4,0.0442,debaa75,20231109085440,01:46:54
156,3,9,5,terraform test,3,0.04415,debaa75,20231109085440,01:46:54
156,2,7,5,terraform test,3,0.04415,debaa75,20231109085440,01:46:54
156,NA,NA,5,terraform destroy,671,NA,debaa75,20231109085440,01:46:54
156,1,3,5,terraform test,1570,0.1767,debaa75,20231109085440,01:46:54
156,5,11,5,terratest,1673,0.18225,debaa75,20231109085440,01:46:54
156,6,14,5,terratest,1458,0.17067,debaa75,20231109085440,01:46:54
157,8,NA,1,terraform fmt,0,NA,debaa75,20231109104135,01:52:12
157,8,NA,2,terraform validate,3,NA,debaa75,20231109104135,01:52:12
157,6,NA,3,tfsec,2,NA,debaa75,20231109104135,01:52:12
157,2,6,4,pytest,2,NA,debaa75,20231109104135,01:52:12
157,4,10,4,pytest,1,NA,debaa75,20231109104135,01:52:12
157,6,13,4,pytest,1,NA,debaa75,20231109104135,01:52:12
157,3,8,4,pytest,2,NA,debaa75,20231109104135,01:52:12
157,1,2,4,terraform test,3,NA,debaa75,20231109104135,01:52:12
157,1,1,4,terraform test,5,NA,debaa75,20231109104135,01:52:12
157,2,5,4,terraform test,2,NA,debaa75,20231109104135,01:52:12
157,NA,NA,5,terraform apply,986,NA,debaa75,20231109104135,01:52:12
157,1,4,5,terraform test,4,0.04485,debaa75,20231109104135,01:52:12
157,3,9,5,terraform test,4,0.04485,debaa75,20231109104135,01:52:12
157,2,7,5,terraform test,3,0.04479,debaa75,20231109104135,01:52:12
157,NA,NA,5,terraform destroy,619,NA,debaa75,20231109104135,01:52:12
157,1,3,5,terraform test,1615,0.17912,debaa75,20231109104135,01:52:12
157,5,11,5,terratest,1710,0.18424,debaa75,20231109104135,01:52:12
157,6,14,5,terratest,1646,0.1808,debaa75,20231109104135,01:52:12
159,8,NA,1,terraform fmt,0,NA,debaa75,20231109151904,01:46:52
159,8,NA,2,terraform validate,2,NA,debaa75,20231109151904,01:46:52
159,6,NA,3,tfsec,1,NA,debaa75,20231109151904,01:46:52
159,2,6,4,pytest,1,NA,debaa75,20231109151904,01:46:52
159,4,10,4,pytest,1,NA,debaa75,20231109151904,01:46:52
159,6,13,4,pytest,2,NA,debaa75,20231109151904,01:46:52
159,3,8,4,pytest,1,NA,debaa75,20231109151904,01:46:52
159,1,2,4,terraform test,3,NA,debaa75,20231109151904,01:46:52
159,1,1,4,terraform test,5,NA,debaa75,20231109151904,01:46:52
159,2,5,4,terraform test,2,NA,debaa75,20231109151904,01:46:52
159,NA,NA,5,terraform apply,978,NA,debaa75,20231109151904,01:46:52
159,1,4,5,terraform test,4,0.04382,debaa75,20231109151904,01:46:52
159,3,9,5,terraform test,3,0.04377,debaa75,20231109151904,01:46:52
159,2,7,5,terraform test,3,0.04377,debaa75,20231109151904,01:46:52
159,NA,NA,5,terraform destroy,551,NA,debaa75,20231109151904,01:46:52
159,1,3,5,terraform test,1518,0.1739,debaa75,20231109151904,01:46:52
159,5,11,5,terratest,1692,0.18327,debaa75,20231109151904,01:46:52
159,6,14,5,terratest,1524,0.17422,debaa75,20231109151904,01:46:52
160,8,NA,1,terraform fmt,0,NA,debaa75,20231109170557,01:45:48
160,8,NA,2,terraform validate,3,NA,debaa75,20231109170557,01:45:48
160,6,NA,3,tfsec,1,NA,debaa75,20231109170557,01:45:48
160,2,6,4,pytest,2,NA,debaa75,20231109170557,01:45:48
160,4,10,4,pytest,1,NA,debaa75,20231109170557,01:45:48
160,6,13,4,pytest,1,NA,debaa75,20231109170557,01:45:48
160,3,8,4,pytest,1,NA,debaa75,20231109170557,01:45:48
160,1,2,4,terraform test,2,NA,debaa75,20231109170557,01:45:48
160,1,1,4,terraform test,6,NA,debaa75,20231109170557,01:45:48
160,2,5,4,terraform test,2,NA,debaa75,20231109170557,01:45:48
160,NA,NA,5,terraform apply,1023,NA,debaa75,20231109170557,01:45:48
160,1,4,5,terraform test,4,0.04506,debaa75,20231109170557,01:45:48
160,3,9,5,terraform test,3,0.04501,debaa75,20231109170557,01:45:48
160,2,7,5,terraform test,4,0.04506,debaa75,20231109170557,01:45:48
160,NA,NA,5,terraform destroy,600,NA,debaa75,20231109170557,01:45:48
160,1,3,5,terraform test,1479,0.1718,debaa75,20231109170557,01:45:48
160,5,11,5,terratest,1547,0.17546,debaa75,20231109170557,01:45:48
160,6,14,5,terratest,1540,0.17508,debaa75,20231109170557,01:45:48
161,8,NA,1,terraform fmt,0,NA,debaa75,20231109185146,01:50:09
161,8,NA,2,terraform validate,2,NA,debaa75,20231109185146,01:50:09
161,6,NA,3,tfsec,2,NA,debaa75,20231109185146,01:50:09
161,2,6,4,pytest,1,NA,debaa75,20231109185146,01:50:09
161,4,10,4,pytest,1,NA,debaa75,20231109185146,01:50:09
161,6,13,4,pytest,1,NA,debaa75,20231109185146,01:50:09
161,3,8,4,pytest,1,NA,debaa75,20231109185146,01:50:09
161,1,2,4,terraform test,3,NA,debaa75,20231109185146,01:50:09
161,1,1,4,terraform test,5,NA,debaa75,20231109185146,01:50:09
161,2,5,4,terraform test,2,NA,debaa75,20231109185146,01:50:09
161,NA,NA,5,terraform apply,886,NA,debaa75,20231109185146,01:50:09
161,1,4,5,terraform test,4,0.04345,debaa75,20231109185146,01:50:09
161,3,9,5,terraform test,3,0.04339,debaa75,20231109185146,01:50:09
161,2,7,5,terraform test,4,0.04345,debaa75,20231109185146,01:50:09
161,NA,NA,5,terraform destroy,614,NA,debaa75,20231109185146,01:50:09
161,1,3,5,terraform test,1667,0.18193,debaa75,20231109185146,01:50:09
161,5,11,5,terratest,1664,0.18176,debaa75,20231109185146,01:50:09
161,6,14,5,terratest,1630,0.17993,debaa75,20231109185146,01:50:09
163,8,NA,1,terraform fmt,0,NA,debaa75,20231110063244,01:46:23
163,8,NA,2,terraform validate,2,NA,debaa75,20231110063244,01:46:23
163,6,NA,3,tfsec,1,NA,debaa75,20231110063244,01:46:23
163,2,6,4,pytest,1,NA,debaa75,20231110063244,01:46:23
163,4,10,4,pytest,1,NA,debaa75,20231110063244,01:46:23
163,6,13,4,pytest,1,NA,debaa75,20231110063244,01:46:23
163,3,8,4,pytest,1,NA,debaa75,20231110063244,01:46:23
163,1,2,4,terraform test,3,NA,debaa75,20231110063244,01:46:23
163,1,1,4,terraform test,6,NA,debaa75,20231110063244,01:46:23
163,2,5,4,terraform test,1,NA,debaa75,20231110063244,01:46:23
